ID,year_,arrival_date,departure_date,tenure,young,mates,success_yn,latit,longit,present_next_year,present_previous_year,tarsus,wing,weight,hema,testo
127231950,2008,173,173,1,4,1,1,71.31825,-156.653,0,0,28.29999924,141.5,95.09999847,62.5,158.69486
127231951,2008,172,172,1,0,0,0,71.3219,-156.64829,0,0,28.5,145,90.80000305,59,171.18077
127231952,2008,173,173,1,2,1,1,71.3206,-156.6389,0,0,29.20000076,145.5,103.5999985,57.83,397.87803
127231953,2008,173,173,1,4,1,1,71.32315,-156.6465,0,0,28.70000076,142.5,92.40000153,55.25,683.77756
127231954,2008,173,177,5,0,0,0,71.32308,-156.6622667,0,0,28.5,143,102.5,57.5,10734.26024
127231955,2008,173,176,4,0,0,0,71.32103,-156.66806,0,0,29.14999962,145,97.19999695,62.17,10274.23538
127231956,2008,173,173,1,0,0,0,71.32149,-156.6707,0,0,27.70000076,140,97.19999695,63,8119.05404
127231957,2008,173,173,1,0,0,0,71.32126,-156.6736,0,0,30,149,100.0999985,63,1900.12641
127231958,2008,173,173,1,0,0,0,71.32125,-156.6729,0,0,28.39999962,142,101.0999985,59.83,571.65961
127231959,2008,173,181,9,0,0,0,71.32219333,-156.6699867,0,0,30.20000076,146,100.0999985,63.5,151.29303
127231960,2008,173,174,2,0,0,0,71.32202,-156.66988,0,0,31.20000076,149,109.0999985,56.75,2005.20373
127231961,2008,175,175,1,4,1,1,71.32473,-156.6472,0,0,27.60000038,143,93,54,834.13505
127231962,2008,178,186,9,3,1,1,71.32367286,-156.6640814,0,0,27.37999916,142,100.0999985,56,2674.84154
127231963,2008,178,178,1,0,0,0,71.32217,-156.668805,0,0,28.69000053,146,98.40000153,59,223.40357
127231964,2008,178,178,1,0,0,0,71.323275,-156.67087,0,0,28.37000084,151,96.40000153,54.75,178.48861
127231965,2008,178,178,1,0,0,0,71.3216,-156.6701,0,0,27.32999992,140,100.8000031,57.5,1806.56431
127231966,2008,178,178,1,0,0,0,71.32305,-156.6718,0,0,30.55999947,144,110.5,54.67,67.52951
127231967,2008,180,181,2,0,0,0,71.323145,-156.66581,0,0,29.01000023,148,95.09999847,54,111.3885
127231968,2009,154,154,1,0,0,0,71.32358,-156.67525,0,0,27.70000076,138,94.30000305,49.33,1359.25708
127231969,2009,154,154,1,0,0,0,71.32317,-156.67488,0,0,28.04000092,142,90.90000153,56.67,3675.23703
127231970,2009,155,159,5,0,0,0,71.3204,-156.6726867,0,0,29.45000076,146.5,98.59999847,56.75,5133.9102
127231971,2009,156,156,1,0,0,0,71.322285,-156.66962,0,0,28.82999992,141,104,57,15190.9679
127231972,2009,158,158,1,0,0,0,71.32198,-156.66602,0,0,30.39999962,147,100.0999985,57.17,1820.36119
127231973,2009,158,168,11,8,2,1,71.325525,-156.66726,0,0,30.10000038,146,100.0999985,50,NA
127231974,2009,159,175,17,0,0,0,71.31722313,-156.6525456,0,0,28,143,87.80000305,58.75,7110.83974
127231975,2009,164,181,18,0,0,0,71.320326,-156.651321,0,0,30,150,105.0999985,61,18532.49384
127231976,2009,170,177,8,0,0,0,71.321138,-156.659122,0,0,29,145,98,NA,NA
127232001,2008,152,152,1,0,0,0,71.32326,-156.6753,0,0,28.70000076,146,107.8000031,57.62,606.64149
127232002,2008,152,162,11,0,0,0,71.32338667,-156.6747883,0,0,30.39999962,145,111.9000015,58.33,2664.88618
127232003,2008,152,156,5,0,0,0,71.323235,-156.6729075,0,0,29.29999924,141.5,98.19999695,58,3453.53252
127232004,2008,151,157,7,0,0,0,71.3231625,-156.6736325,0,0,28.79999924,144,84.30000305,53.75,6614.97498
127232005,2008,155,155,1,0,0,0,71.32347,-156.6739,0,0,29.70000076,149,95.90000153,65,1173.69359
127232006,2008,155,158,4,0,0,0,71.32442667,-156.6719183,0,0,30.29999924,147,80,58,3549.96089
127232007,2008,155,155,1,0,0,0,71.32355,-156.6746,0,0,30.39999962,147,108.3000031,56.83,1331.74927
127232008,2008,155,168,14,0,0,0,71.32402667,-156.6714433,0,0,31,152.5,108.5,60.75,4438.54703
127232009,2008,155,159,5,0,0,0,71.322868,-156.672858,0,0,26.60000038,141,81.30000305,50.33,1343.14992
127232010,2008,155,157,3,0,0,0,71.32331667,-156.6743533,0,0,28.70000076,143,92.80000305,55,614.8928
127232011,2008,156,172,17,0,0,0,71.32244571,-156.6703386,0,0,29.5,143.5,94.69999695,54.62,6685.13447
127232012,2008,156,156,1,0,0,0,71.32326,-156.6735,0,0,29.70000076,144,106.5,59,8452.95711
127232013,2008,156,160,5,0,0,0,71.324,-156.6723967,0,0,29.89999962,144.5,82.30000305,45.75,1899.64759
127232016,2008,159,181,23,0,0,0,71.31956446,-156.6561442,0,0,29.39999962,145,103.0999985,54,2071.45308
127232017,2008,159,159,1,0,0,0,71.321915,-156.669525,0,0,29.79999924,134.5,93.90000153,65,735.51383
127232018,2008,161,170,10,0,0,0,71.32065857,-156.6632786,0,0,28.10000038,141.5,107.0999985,55.5,14022.85913
127232019,2008,161,161,1,0,0,0,71.32362,-156.6749,0,0,29.89999962,149.5,102.6999969,NA,7510.16072
127232020,2008,161,165,5,0,0,0,71.32292667,-156.6688533,0,0,30.89999962,142.5,106.4000015,59.67,1428.79852
127232021,2008,161,162,2,0,0,0,71.32088,-156.6685233,0,0,30.10000038,143.5,93.90000153,53.75,2039.4404
127232022,2008,161,161,1,0,0,0,71.32321,-156.6712,0,0,30.39999962,150,103.3000031,55.5,13493.71239
127232023,2008,162,162,1,0,0,0,71.32349,-156.6739,0,0,30.10000038,145,105.0999985,54.5,2738.94962
127232024,2008,162,167,6,0,0,0,71.320824,-156.66306,0,0,28.5,142,94,56.5,3790.09731
127232025,2008,162,185,24,0,0,0,71.32214262,-156.6694357,0,0,28.60000038,143,102.1999969,56.5,3953.18305
127232026,2008,162,172,11,0,0,0,71.32056857,-156.6668251,0,0,30.60000038,148,103.3000031,58,11009.08126
127232027,2008,164,165,2,0,0,0,71.322825,-156.665635,0,0,28.79999924,145,112,60.25,2173.20054
127232028,2008,164,164,1,0,0,0,71.32365,-156.6723,0,0,29.29999924,144.5,103.5,58.5,2557.23022
127232029,2008,168,178,11,0,0,0,71.32172105,-156.6676088,0,0,31.10000038,148,115.5,NA,NA
127232030,2008,170,177,8,3,1,1,71.32267087,-156.669687,0,0,30.70000076,146,103.3000031,55.5,12248.0894
127232032,2008,175,189,15,0,0,0,71.323032,-156.66999,0,0,30.10000038,148.5,99.90000153,58.25,1254.46527
